"Predicted target genes for ssa-miR-222b-5p
This sheet is intended for advanced users who want more fine-grained control over filtering sites or building new site prodiction models.


# Column A: Seqname, the name the sequence.
# Column B: GeneSymbol, the official gene symbol of the sequence.
# Column C: Type, the type of the transcipt.
# Column D: Diagrams, the diagrams illustrate key features for miRNA binding. See Ref [1,2] for details.
# Column E: Range, the position of the site. For coding genes, this is the position on 3'UTR. For LncRNAs, this is the position on the full transcripts.
# Column F: Seed Match, the type for the seed match.
# Column G ~ L: The detialed components of the context+ score. See Ref [4] for details.
# Column M: The context+ score for the site.
# Column N ~ Q: The detialed components of the context score. See Ref [1] for details.
# Column R: The context score for the site.
# Column S ~ U: The detialed components for the 3'-Pairing, Local AU and Position scores defined in Ref [1].
# Column V,W: The thermodynamic properties of the binding site given by miRanda (Ref [5]).
# Column X ~ Z: The conservation score used in TargetScan. See Ref [3] for details.


# Note:
Currently, there is not enough data for constructing phylogenetic tree of different species for LncRNAs. The ""Conservation"" section is meaningless for LncRNA. All sites on LncRNA are treated as non-conserved ones.


# Reference:
[1] Grimson A., et al. MicroRNA Targeting Specificity in Mammals: Determinants beyond Seed Pairing. Molecular Cell, Volume 27, Issue 1, 91-105, 6 July 2007.
[2] Amy E. Pasquinelli. MicroRNAs and their targets: recognition, regulation and an emerging reciprocal relationship. Nature Reviews Genetics, Volume 13, 271-282, 1 April 2012.
[3] Robin C Friedman, et al. Most Mammalian mRNAs Are Conserved Targets of MicroRNAs. Genome Research, Volume 19, 92-105, 2009.
[4] David M Garcia., et al. Weak Seed-Pairing Stability and High Target-Site Abundance Decrease the Proficiency of lsy-6 and Other miRNAs. Nat. Struct. Mol. Biol., Volume 18, 1139-1146, 2011.
[5] Enright AJ., el al. miRanda algorithm: MicroRNA targets in Drosophila. Genome Biology, Volume 5, R1, 2003.
"																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
"Predicted Sites for ssa-miR-222b-5p"																									
Gene			Site			"Context+ Score"							"Context Score"					"Raw Score"			Thermodynamics		Conservation		
Seqname	GeneSymbol	Type	Diagrams	Range	"Seed Match"	"Site-type Contribution"	"3' Pairing Contribution"	"Local AU Contribution"	"Position Contribution"	"TA Contribution"	"SPS Contribution"	"Context+ Score"	"Site-type Contribution"	"3' Pairing Contribution"	"Local AU Contribution"	"Position Contribution"	"Context Score"	"3' Pairing Contribution"	"Local AU Contribution"	"Position Contribution"	"Structure Score"	"Free Energy"	"Branch Length"	Pct	IsConserved
NM_001123589	tnf-alpha-1	Coding	"Click Me"	"(960,982)"	8mer	-0.247	0.013	-0.057	-0.009	0.012	-0.067	-0.355	-0.31	0.005	-0.104	0.002	-0.408	1.5	0.733	417	149	-17.06	0		False
NM_001123590	tnf-alpha-2	Coding	"Click Me"	"(960,982)"	8mer	-0.247	0.013	-0.059	0	0.012	-0.067	-0.349	-0.31	0.005	-0.108	0.007	-0.406	1.5	0.739	450	149	-17.06	0		False
NM_001123597	agr2	Coding	"Click Me"	"(532,552)"	8mer	-0.247	-0.018	-0.017	-0.03	0.012	-0.067	-0.368	-0.31	-0.001	-0.043	-0.013	-0.367	3	0.637	331	152	-18.7	0		False
NM_001123599	LOC100136470	Coding	"Click Me"	"(369,394)"	8mer	-0.247	-0.039	0.029	-0.017	0.012	-0.067	-0.329	-0.31	-0.005	0.029	-0.004	-0.29	4	0.525	386	158	-23.03	0		False
NM_001123653	tlr9	Coding	"Click Me"	"(320,339)"	8mer	-0.247	0.013	-0.002	-0.03	0.012	-0.067	-0.321	-0.31	0.005	-0.019	-0.013	-0.337	1.5	0.6	331	142	-14.14	0		False
NM_001123658	LOC100136565	Coding	"Click Me"	"(904,927)"	8mer	-0.247	-0.039	-0.038	-0.093	0.012	-0.067	-0.473	-0.31	-0.005	-0.075	-0.056	-0.446	4	0.688	82	166	-27.81	0		False
NM_001126232	trp-i	Coding	"Click Me"	"(317,340)"	8mer	-0.247	-0.029	-0.003	-0.03	0.012	-0.067	-0.364	-0.31	-0.003	-0.021	-0.013	-0.347	3.5	0.603	332	153	-21.08	0		False
NM_001139529	hoxc5aa	Coding	"Click Me"	"(372,397)"	8mer	-0.247	0.013	-0.006	-0.016	0.012	-0.067	-0.31	-0.31	0.005	-0.025	-0.003	-0.333	1.5	0.609	389	152	-21.61	0		False
NM_001139637	zmat5	Coding	"Click Me"	"(1013,1036)"	8mer	-0.247	-0.029	0.009	-0.005	0.012	-0.067	-0.327	-0.31	-0.003	-0.003	0.004	-0.312	3.5	0.575	432	153	-22.69	0		False
NM_001139723	LOC100194638	Coding	"Click Me"	"(2125,2147)"	8mer	-0.247	0.013	-0.036	-0.096	0.012	-0.067	-0.42	-0.31	0.005	-0.071	-0.058	-0.434	1.5	0.681	72	159	-18.79	0		False
NM_001139792	mapk3	Coding	"Click Me"	"(2916,2938)"	8mer	-0.247	0.013	0.009	-0.103	0.012	-0.067	-0.382	-0.31	0.005	-0.002	-0.062	-0.369	1.5	0.573	45	149	-13.46	0		False
NM_001139851	scpdh	Coding	"Click Me"	"(1837,1860)"	8mer	-0.247	-0.008	0.024	-0.093	0.012	-0.067	-0.379	-0.31	0.001	0.02	-0.056	-0.345	2.5	0.538	83	163	-21.19	0		False
NM_001139926	uap56	Coding	"Click Me"	"(50,72)"	8mer	-0.247	0.013	0.046	-0.098	0.012	-0.067	-0.341	-0.31	0.005	0.055	-0.059	-0.309	1.5	0.484	64	153	-18.55	0		False
NM_001140144	s22a6	Coding	"Click Me"	"(86,108)"	8mer	-0.247	0.024	-0.018	-0.089	0.012	-0.067	-0.385	-0.31	0.007	-0.044	-0.053	-0.4	1	0.64	100	145	-15.83	0		False
NM_001140166	pri2	Coding	"Click Me"	"(128,149)"	8mer	-0.247	-0.029	0.068	-0.078	0.012	-0.067	-0.341	-0.31	-0.003	0.089	-0.046	-0.27	3.5	0.432	141	153	-19.62	0		False
NM_001140211	pahx	Coding	"Click Me"	"(177,199)"	8mer	-0.247	-0.018	0.072	-0.066	0.012	-0.067	-0.314	-0.31	-0.001	0.095	-0.037	-0.253	3	0.421	191	158	-25.62	0		False
NM_001140361	if4ea	Coding	"Click Me"	"(2166,2189)"	7mer-m8	-0.12	0.003	-0.126	-0.053	0.006	-0.037	-0.328	-0.161	0.005	-0.161	-0.032	-0.348	2	0.859	59	141	-10.81	0		False
NM_001140370	djb12	Coding	"Click Me"	"(1818,1839)"	8mer	-0.247	0.003	-0.046	-0.051	0.012	-0.067	-0.397	-0.31	0.003	-0.088	-0.027	-0.422	2	0.708	251	152	-18.04	0		False
NM_001140407	tiar	Coding	"Click Me"	"(249,271)"	8mer	-0.247	0.003	-0.032	-0.048	0.012	-0.067	-0.38	-0.31	0.003	-0.066	-0.025	-0.398	2	0.674	263	164	-20.07	0		False
NM_001140442	pgcp	Coding	"Click Me"	"(1613,1636)"	8mer	-0.247	0.013	-0.084	-0.036	0.012	-0.067	-0.409	-0.31	0.005	-0.146	-0.017	-0.468	1.5	0.799	309	151	-14.61	0		False
NM_001140526	rexo4	Coding	"Click Me"	"(189,211)"	8mer	-0.247	0.024	-0.042	-0.063	0.012	-0.067	-0.383	-0.31	0.007	-0.081	-0.035	-0.419	1	0.697	203	146	-16.51	0		False
NM_001140555	ra51a	Coding	"Click Me"	"(116,137)"	8mer	-0.247	-0.018	0.045	-0.081	0.012	-0.067	-0.357	-0.31	-0.001	0.053	-0.048	-0.306	3	0.488	129	158	-20.57	0		False
NM_001140786	f100a	Coding	"Click Me"	"(51,73)"	8mer	-0.247	0.013	0.074	-0.098	0.012	-0.067	-0.313	-0.31	0.005	0.098	-0.059	-0.266	1.5	0.418	65	141	-14.74	0		False
NM_001140819	cor1a	Coding	"Click Me"	"(30,53)"	8mer	-0.247	0.024	0.077	-0.103	0.012	-0.067	-0.304	-0.31	0.007	0.103	-0.062	-0.262	1	0.409	45	143	-16.98	0		False
NM_001140876	call4	Coding	"Click Me"	"(653,676)"	8mer	-0.247	-0.008	0.057	-0.063	0.012	-0.067	-0.316	-0.31	0.001	0.071	-0.035	-0.273	2.5	0.459	202	146	-15.38	0		False
NM_001140876	call4	Coding	"Click Me"	"(685,704)"	8mer	-0.247	0.013	0.057	-0.07	0.012	-0.067	-0.302	-0.31	0.005	0.072	-0.04	-0.273	1.5	0.457	174	145	-15.28	0		False
NM_001140940	twst2	Coding	"Click Me"	"(550,575)"	8mer	-0.247	0.013	-0.049	0.029	0.012	-0.067	-0.309	-0.31	0.005	-0.092	0.028	-0.37	1.5	0.714	567	154	-17.84	0		False
NM_001140954	ef1b	Coding	"Click Me"	"(739,760)"	8mer	-0.247	0.013	0.036	-0.047	0.012	-0.067	-0.3	-0.31	0.005	0.039	-0.025	-0.29	1.5	0.509	264	153	-20.44	0		False
NM_001141255	t120a	Coding	"Click Me"	"(235,258)"	8mer	-0.247	-0.008	0.032	-0.051	0.012	-0.067	-0.329	-0.31	0.001	0.033	-0.027	-0.303	2.5	0.519	250	145	-17.57	0		False
NM_001141283	denr	Coding	"Click Me"	"(40,65)"	8mer	-0.247	-0.008	-0.08	-0.1	0.012	-0.067	-0.489	-0.31	0.001	-0.14	-0.06	-0.509	2.5	0.788	57	149	-18.29	0		False
NM_001141315	hig2a	Coding	"Click Me"	"(375,397)"	8mer	-0.247	0.034	0.054	-0.086	0.012	-0.067	-0.3	-0.31	0.009	0.066	-0.051	-0.286	0.5	0.467	111	140	-18.1	0		False
